detection_id,species,source_image,pixel_x,pixel_y,longitude,latitude,within_boundary_buffer,georeference_method,georeference_rmse_deg,control_point_count,notes
rhino_digitized_116,rhino,rhino_pages-14.png,646.0,318.0,15.783011,-19.162551,True,quadratic_gcp_warp_from_public_map_features,0.174143,13,approximate map-digitized detections from a public figure; not survey-grade coordinates
rhino_digitized_117,rhino,rhino_pages-14.png,660.5,319.0,15.834497,-19.164446,True,quadratic_gcp_warp_from_public_map_features,0.174143,13,approximate map-digitized detections from a public figure; not survey-grade coordinates
rhino_digitized_118,rhino,rhino_pages-14.png,668.0,319.0,15.861849,-19.164073,True,quadratic_gcp_warp_from_public_map_features,0.174143,13,approximate map-digitized detections from a public figure; not survey-grade coordinates
rhino_digitized_119,rhino,rhino_pages-14.png,828.5,319.0,16.486949,-19.170271,True,quadratic_gcp_warp_from_public_map_features,0.174143,13,approximate map-digitized detections from a public figure; not survey-grade coordinates
rhino_digitized_120,rhino,rhino_pages-14.png,651.9,320.76,15.80175,-19.169812,True,quadratic_gcp_warp_from_public_map_features,0.174143,13,approximate map-digitized detections from a public figure; not survey-grade coordinates
rhino_digitized_121,rhino,rhino_pages-14.png,701.0,321.36,15.982257,-19.169449,True,quadratic_gcp_warp_from_public_map_features,0.174143,13,approximate map-digitized detections from a public figure; not survey-grade coordinates
rhino_digitized_122,rhino,rhino_pages-14.png,691.0,322.0,15.944276,-19.171359,True,quadratic_gcp_warp_from_public_map_features,0.174143,13,approximate map-digitized detections from a public figure; not survey-grade coordinates
rhino_digitized_123,rhino,rhino_pages-14.png,446.5,323.0,15.118617,-19.212488,True,quadratic_gcp_warp_from_public_map_features,0.174143,13,approximate map-digitized detections from a public figure; not survey-grade coordinates
rhino_digitized_124,rhino,rhino_pages-14.png,639.5,323.5,15.754594,-19.178289,True,quadratic_gcp_warp_from_public_map_features,0.174143,13,approximate map-digitized detections from a public figure; not survey-grade coordinates
rhino_digitized_125,rhino,rhino_pages-14.png,657.3,323.3,15.81902,-19.176418,True,quadratic_gcp_warp_from_public_map_features,0.174143,13,approximate map-digitized detections from a public figure; not survey-grade coordinates
rhino_digitized_126,rhino,rhino_pages-14.png,204.5,324.0,14.473988,-19.315963,True,quadratic_gcp_warp_from_public_map_features,0.174143,13,approximate map-digitized detections from a public figure; not survey-grade coordinates
rhino_digitized_127,rhino,rhino_pages-14.png,249.36,325.0,14.578486,-19.296168,True,quadratic_gcp_warp_from_public_map_features,0.174143,13,approximate map-digitized detections from a public figure; not survey-grade coordinates
rhino_digitized_128,rhino,rhino_pages-14.png,352.3,324.7,14.845297,-19.24964,True,quadratic_gcp_warp_from_public_map_features,0.174143,13,approximate map-digitized detections from a public figure; not survey-grade coordinates
rhino_digitized_129,rhino,rhino_pages-14.png,653.21,325.36,15.802343,-19.182301,True,quadratic_gcp_warp_from_public_map_features,0.174143,13,approximate map-digitized detections from a public figure; not survey-grade coordinates
rhino_digitized_130,rhino,rhino_pages-14.png,694.5,326.5,15.95369,-19.18321,True,quadratic_gcp_warp_from_public_map_features,0.174143,13,approximate map-digitized detections from a public figure; not survey-grade coordinates
rhino_digitized_131,rhino,rhino_pages-14.png,665.0,327.0,15.843869,-19.18594,True,quadratic_gcp_warp_from_public_map_features,0.174143,13,approximate map-digitized detections from a public figure; not survey-grade coordinates
rhino_digitized_132,rhino,rhino_pages-14.png,712.5,327.0,16.021309,-19.184114,True,quadratic_gcp_warp_from_public_map_features,0.174143,13,approximate map-digitized detections from a public figure; not survey-grade coordinates
rhino_digitized_133,rhino,rhino_pages-14.png,727.0,327.64,16.076327,-19.185666,True,quadratic_gcp_warp_from_public_map_features,0.174143,13,approximate map-digitized detections from a public figure; not survey-grade coordinates
rhino_digitized_134,rhino,rhino_pages-14.png,601.5,328.0,15.616055,-19.194882,True,quadratic_gcp_warp_from_public_map_features,0.174143,13,approximate map-digitized detections from a public figure; not survey-grade coordinates
rhino_digitized_135,rhino,rhino_pages-14.png,657.0,328.0,15.813754,-19.189178,True,quadratic_gcp_warp_from_public_map_features,0.174143,13,approximate map-digitized detections from a public figure; not survey-grade coordinates
rhino_digitized_136,rhino,rhino_pages-14.png,679.5,328.0,15.89649,-19.187788,True,quadratic_gcp_warp_from_public_map_features,0.174143,13,approximate map-digitized detections from a public figure; not survey-grade coordinates
rhino_digitized_137,rhino,rhino_pages-14.png,183.94,329.82,14.416516,-19.348059,True,quadratic_gcp_warp_from_public_map_features,0.174143,13,approximate map-digitized detections from a public figure; not survey-grade coordinates
rhino_digitized_138,rhino,rhino_pages-14.png,835.23,331.92,16.508036,-19.201991,True,quadratic_gcp_warp_from_public_map_features,0.174143,13,approximate map-digitized detections from a public figure; not survey-grade coordinates
rhino_digitized_139,rhino,rhino_pages-14.png,843.23,332.23,16.541398,-19.203593,True,quadratic_gcp_warp_from_public_map_features,0.174143,13,approximate map-digitized detections from a public figure; not survey-grade coordinates
rhino_digitized_140,rhino,rhino_pages-14.png,138.5,336.0,14.305263,-19.39746,False,quadratic_gcp_warp_from_public_map_features,0.174143,13,approximate map-digitized detections from a public figure; not survey-grade coordinates
rhino_digitized_141,rhino,rhino_pages-14.png,193.0,337.64,14.422835,-19.370201,True,quadratic_gcp_warp_from_public_map_features,0.174143,13,approximate map-digitized detections from a public figure; not survey-grade coordinates
rhino_digitized_142,rhino,rhino_pages-14.png,687.21,337.36,15.917596,-19.211807,True,quadratic_gcp_warp_from_public_map_features,0.174143,13,approximate map-digitized detections from a public figure; not survey-grade coordinates
rhino_digitized_143,rhino,rhino_pages-14.png,705.23,337.92,15.985242,-19.212352,True,quadratic_gcp_warp_from_public_map_features,0.174143,13,approximate map-digitized detections from a public figure; not survey-grade coordinates
rhino_digitized_144,rhino,rhino_pages-14.png,233.77,338.23,14.51784,-19.349494,True,quadratic_gcp_warp_from_public_map_features,0.174143,13,approximate map-digitized detections from a public figure; not survey-grade coordinates
rhino_digitized_145,rhino,rhino_pages-14.png,601.0,338.5,15.603947,-19.223898,True,quadratic_gcp_warp_from_public_map_features,0.174143,13,approximate map-digitized detections from a public figure; not survey-grade coordinates
rhino_digitized_146,rhino,rhino_pages-14.png,833.23,338.23,16.49647,-19.216429,True,quadratic_gcp_warp_from_public_map_features,0.174143,13,approximate map-digitized detections from a public figure; not survey-grade coordinates
rhino_digitized_147,rhino,rhino_pages-14.png,249.5,339.0,14.554921,-19.343759,True,quadratic_gcp_warp_from_public_map_features,0.174143,13,approximate map-digitized detections from a public figure; not survey-grade coordinates
rhino_digitized_148,rhino,rhino_pages-14.png,630.5,340.0,15.707115,-19.223875,True,quadratic_gcp_warp_from_public_map_features,0.174143,13,approximate map-digitized detections from a public figure; not survey-grade coordinates
rhino_digitized_149,rhino,rhino_pages-14.png,644.3,340.7,15.756323,-19.224113,True,quadratic_gcp_warp_from_public_map_features,0.174143,13,approximate map-digitized detections from a public figure; not survey-grade coordinates
rhino_digitized_150,rhino,rhino_pages-14.png,490.5,342.0,15.230974,-19.257231,True,quadratic_gcp_warp_from_public_map_features,0.174143,13,approximate map-digitized detections from a public figure; not survey-grade coordinates
rhino_digitized_151,rhino,rhino_pages-14.png,540.0,344.0,15.38989,-19.250549,True,quadratic_gcp_warp_from_public_map_features,0.174143,13,approximate map-digitized detections from a public figure; not survey-grade coordinates
rhino_digitized_152,rhino,rhino_pages-14.png,818.5,344.5,16.431842,-19.229612,True,quadratic_gcp_warp_from_public_map_features,0.174143,13,approximate map-digitized detections from a public figure; not survey-grade coordinates
rhino_digitized_153,rhino,rhino_pages-14.png,635.5,345.0,15.720611,-19.236407,True,quadratic_gcp_warp_from_public_map_features,0.174143,13,approximate map-digitized detections from a public figure; not survey-grade coordinates
rhino_digitized_154,rhino,rhino_pages-14.png,680.0,346.5,15.883208,-19.235577,True,quadratic_gcp_warp_from_public_map_features,0.174143,13,approximate map-digitized detections from a public figure; not survey-grade coordinates
rhino_digitized_155,rhino,rhino_pages-14.png,731.0,346.0,16.078618,-19.231497,True,quadratic_gcp_warp_from_public_map_features,0.174143,13,approximate map-digitized detections from a public figure; not survey-grade coordinates
rhino_digitized_156,rhino,rhino_pages-14.png,558.0,347.0,15.447185,-19.254896,True,quadratic_gcp_warp_from_public_map_features,0.174143,13,approximate map-digitized detections from a public figure; not survey-grade coordinates
rhino_digitized_157,rhino,rhino_pages-14.png,572.0,350.0,15.491897,-19.260125,True,quadratic_gcp_warp_from_public_map_features,0.174143,13,approximate map-digitized detections from a public figure; not survey-grade coordinates
rhino_digitized_158,rhino,rhino_pages-14.png,790.5,351.0,16.312972,-19.24317,True,quadratic_gcp_warp_from_public_map_features,0.174143,13,approximate map-digitized detections from a public figure; not survey-grade coordinates
rhino_digitized_159,rhino,rhino_pages-14.png,568.5,353.0,15.47683,-19.26889,True,quadratic_gcp_warp_from_public_map_features,0.174143,13,approximate map-digitized detections from a public figure; not survey-grade coordinates
rhino_digitized_160,rhino,rhino_pages-14.png,653.0,352.0,15.778375,-19.252206,True,quadratic_gcp_warp_from_public_map_features,0.174143,13,approximate map-digitized detections from a public figure; not survey-grade coordinates
rhino_digitized_161,rhino,rhino_pages-14.png,621.7,357.7,15.659458,-19.271125,True,quadratic_gcp_warp_from_public_map_features,0.174143,13,approximate map-digitized detections from a public figure; not survey-grade coordinates
rhino_digitized_162,rhino,rhino_pages-14.png,566.5,363.0,15.459886,-19.295711,True,quadratic_gcp_warp_from_public_map_features,0.174143,13,approximate map-digitized detections from a public figure; not survey-grade coordinates
rhino_digitized_163,rhino,rhino_pages-14.png,616.0,364.12,15.633192,-19.288325,True,quadratic_gcp_warp_from_public_map_features,0.174143,13,approximate map-digitized detections from a public figure; not survey-grade coordinates
rhino_digitized_164,rhino,rhino_pages-14.png,677.5,365.3,15.859068,-19.28191,True,quadratic_gcp_warp_from_public_map_features,0.174143,13,approximate map-digitized detections from a public figure; not survey-grade coordinates
rhino_digitized_165,rhino,rhino_pages-14.png,695.0,364.0,15.926631,-19.276909,True,quadratic_gcp_warp_from_public_map_features,0.174143,13,approximate map-digitized detections from a public figure; not survey-grade coordinates
rhino_digitized_166,rhino,rhino_pages-14.png,650.5,366.0,15.757494,-19.287229,True,quadratic_gcp_warp_from_public_map_features,0.174143,13,approximate map-digitized detections from a public figure; not survey-grade coordinates
rhino_digitized_167,rhino,rhino_pages-14.png,600.83,369.72,15.57383,-19.305271,True,quadratic_gcp_warp_from_public_map_features,0.174143,13,approximate map-digitized detections from a public figure; not survey-grade coordinates
rhino_digitized_168,rhino,rhino_pages-14.png,679.3,370.7,15.861784,-19.29445,True,quadratic_gcp_warp_from_public_map_features,0.174143,13,approximate map-digitized detections from a public figure; not survey-grade coordinates
rhino_digitized_169,rhino,rhino_pages-14.png,730.0,371.0,16.05788,-19.290002,True,quadratic_gcp_warp_from_public_map_features,0.174143,13,approximate map-digitized detections from a public figure; not survey-grade coordinates
rhino_digitized_170,rhino,rhino_pages-14.png,657.0,379.64,15.770796,-19.31856,True,quadratic_gcp_warp_from_public_map_features,0.174143,13,approximate map-digitized detections from a public figure; not survey-grade coordinates
rhino_digitized_171,rhino,rhino_pages-14.png,724.0,383.0,16.026466,-19.317053,True,quadratic_gcp_warp_from_public_map_features,0.174143,13,approximate map-digitized detections from a public figure; not survey-grade coordinates
rhino_digitized_172,rhino,rhino_pages-14.png,760.5,384.0,16.172181,-19.316094,True,quadratic_gcp_warp_from_public_map_features,0.174143,13,approximate map-digitized detections from a public figure; not survey-grade coordinates
